model,target_sensitivity,target_sensitivity_mean,selected_threshold_mean,cal_sensitivity_mean,cal_specificity_mean,cal_referral_rate_mean,test_sensitivity_mean,test_specificity_mean,test_precision_mean,test_referral_rate_mean,test_false_negatives_mean,test_false_positives_mean,target_sensitivity_std,selected_threshold_std,cal_sensitivity_std,cal_specificity_std,cal_referral_rate_std,test_sensitivity_std,test_specificity_std,test_precision_std,test_referral_rate_std,test_false_negatives_std,test_false_positives_std
classical_gmm,0.95,0.9499999999999998,0.06466666666666666,0.9524017315375684,0.4860966280385985,0.562708430457164,0.9504460483380344,0.47214904974612537,0.19010912005264705,0.5764830571185261,10.666666666666666,864.3333333333334,0.0,0.009463379711052258,0.002135727715754438,0.01984314377379371,0.016513322471791676,0.006240726806566167,0.01765347387334861,0.01373411267668211,0.019103092651404023,2.054804667656325,27.108834148463295
classical_gmm,0.98,0.98,0.030666666666666665,0.9835009549589607,0.3040801483208015,0.7286737986922279,0.981002156960345,0.2963513246216816,0.15664151062597373,0.7361431795022783,4.333333333333333,1154.0,0.0,0.02000555478416488,0.002055562303742369,0.10585985416159387,0.09273318856510548,0.014969168336187381,0.10476461248887092,0.026630622916470288,0.09308554373334947,3.681787005729087,183.96376454798553
classical_gmm,0.99,0.9899999999999999,0.02,0.9960652635465707,0.19047040530992745,0.8301137145950367,0.9874592113268071,0.18758342168577538,0.13992591371039545,0.8337057302633647,3.0,1332.3333333333333,0.0,0.019304576314093675,0.0028083213416466505,0.10324713048492787,0.09273524743311633,0.014280385501095364,0.10702283433569144,0.029583568746323546,0.09357057486567338,3.559026084010437,188.64487506658878
deep_efficientnet,0.95,0.9499999999999998,0.036000000000000004,0.9524017315375684,0.46267895849288765,0.5837339610811872,0.963508102427963,0.451256464408764,0.1865262419583836,0.5963058884789304,7.666666666666667,898.3333333333334,0.0,0.013638181696985854,0.002135727715754438,0.026722479260767013,0.01896089804356971,0.010292545893436466,0.0444090079605137,0.010109330433189016,0.04431525716871776,1.699673171197595,68.97503574160406
deep_efficientnet,0.98,0.98,0.015,0.9858483727993365,0.28524722000162755,0.7447953575231518,0.9892002654720424,0.2708995741335627,0.15116050137879256,0.7595075453722885,2.3333333333333335,1194.6666666666667,0.0,0.0064807406984078615,0.005155767311314801,0.03824040661534528,0.03502359486979518,0.0009901992641029045,0.03509480578768814,0.020679294713713617,0.028264686232308225,0.4714045207910317,70.76879412722971
deep_efficientnet,0.99,0.9899999999999999,0.010333333333333333,0.993717845706195,0.22023339380797147,0.8036562312838714,0.9932653061224489,0.21365994413851475,0.1413953996219003,0.8099654805552546,1.3333333333333333,1287.3333333333333,0.0,0.0041899350299921785,0.0006591423948304419,0.03934101232375617,0.034575027760594824,0.004762876480058323,0.0286442430922871,0.010043285137335883,0.028120801886527293,0.9428090415820634,35.72425257751687
