bin_low,bin_high,count,mean_probability,empirical_melanoma_rate
0.0,0.1,1059,0.03342973165865911,0.025495750708215296
0.1,0.2,314,0.1457738448248408,0.1464968152866242
0.2,0.30000000000000004,175,0.24184813697142854,0.2857142857142857
0.30000000000000004,0.4,134,0.3490147249253731,0.29850746268656714
0.4,0.5,76,0.44672929236842107,0.4342105263157895
0.5,0.6000000000000001,43,0.5382593611627907,0.6976744186046512
0.6000000000000001,0.7000000000000001,24,0.6476491541666667,0.7916666666666666
0.7000000000000001,0.8,10,0.744734987,0.6
0.8,0.9,0,nan,nan
0.9,1.0,0,nan,nan
