fpr,tpr,threshold
0.0,0.0,inf
0.011547344110854504,0.07462686567164178,1.0
0.013856812933025405,0.07462686567164178,0.9999999999999998
0.013856812933025405,0.08955223880597014,0.9999999999999993
0.020785219399538105,0.08955223880597014,0.9999999999999596
0.020785219399538105,0.11940298507462686,0.9999999999960201
0.03233256351039261,0.11940298507462686,0.9999999999665408
0.03233256351039261,0.13432835820895522,0.9999999999459979
0.04157043879907621,0.13432835820895522,0.9999999820343822
0.04157043879907621,0.14925373134328357,0.9999999705814964
0.04849884526558892,0.14925373134328357,0.9999998448102391
0.04849884526558892,0.1791044776119403,0.9999995493786803
0.06004618937644342,0.1791044776119403,0.9999968874072214
0.06004618937644342,0.23880597014925373,0.9999921983468155
0.06466512702078522,0.23880597014925373,0.9999894937439628
0.06466512702078522,0.26865671641791045,0.9999636258678744
0.07159353348729793,0.26865671641791045,0.9998285606810396
0.07159353348729793,0.2835820895522388,0.9995735202705303
0.07390300230946882,0.2835820895522388,0.9994592436450811
0.07390300230946882,0.29850746268656714,0.9991535186473417
0.07621247113163972,0.29850746268656714,0.9990947890021498
0.07621247113163972,0.31343283582089554,0.9984246777437598
0.08083140877598152,0.31343283582089554,0.9968087247206017
0.08083140877598152,0.34328358208955223,0.9959654477815073
0.08775981524249422,0.34328358208955223,0.98610125584423
0.08775981524249422,0.3582089552238806,0.9855794649575135
0.09237875288683603,0.3582089552238806,0.9837834721112231
0.09237875288683603,0.3880597014925373,0.9736304876592596
0.10623556581986143,0.3880597014925373,0.8452847555047864
0.10623556581986143,0.40298507462686567,0.7564752127289607
0.11778290993071594,0.40298507462686567,0.5031197980525396
0.11778290993071594,0.44776119402985076,0.28122620643510937
0.12240184757505773,0.44776119402985076,0.2165853570230568
0.12240184757505773,0.4626865671641791,0.17773915554037759
0.13163972286374134,0.4626865671641791,0.11883788802620278
0.13163972286374134,0.47761194029850745,0.0725009909891206
0.13394919168591224,0.47761194029850745,0.06947843093239113
0.13394919168591224,0.4925373134328358,0.06823210163245685
0.16859122401847576,0.4925373134328358,0.003014683030116542
0.16859122401847576,0.5074626865671642,0.0026037017345145823
0.18244803695150116,0.5074626865671642,0.0011433526803054659
0.18244803695150116,0.5223880597014925,0.0009550206101172356
0.18706697459584296,0.5223880597014925,0.0008426917315155292
0.18706697459584296,0.5373134328358209,0.0007645812588507639
0.19399538106235567,0.5373134328358209,0.0003289555453812507
0.19399538106235567,0.5522388059701493,0.00026833814094753323
0.20323325635103925,0.5522388059701493,0.00012743900470062758
0.20323325635103925,0.5671641791044776,0.0001258315554163181
0.21709006928406466,0.5671641791044776,2.9404644725351813e-05
0.21709006928406466,0.582089552238806,2.7773613233889263e-05
0.22401847575057737,0.582089552238806,2.2611624363667e-05
0.22401847575057737,0.5970149253731343,1.7547274421452057e-05
0.23094688221709006,0.5970149253731343,1.08994136381491e-05
0.23094688221709006,0.6119402985074627,1.05892535876853e-05
0.23787528868360278,0.6119402985074627,7.162448489184046e-06
0.23787528868360278,0.6567164179104478,5.186870232361785e-06
0.2471131639722864,0.6567164179104478,2.217615498227489e-06
0.2471131639722864,0.6716417910447762,1.90372867656802e-06
0.25635103926096997,0.6716417910447762,1.0004133135101172e-06
0.25635103926096997,0.6865671641791045,8.481852602877238e-07
0.26558891454965355,0.6865671641791045,2.932683075488697e-07
0.26558891454965355,0.7014925373134329,1.9968060450044178e-07
0.2678983833718245,0.7014925373134329,1.9780044425835768e-07
0.2678983833718245,0.7313432835820896,1.5382635218299689e-07
0.27251732101616627,0.7313432835820896,1.109086074632979e-07
0.27251732101616627,0.7761194029850746,7.979676017184738e-08
0.27713625866050806,0.7761194029850746,6.174501205267256e-08
0.27713625866050806,0.7910447761194029,2.940580015432139e-08
0.28868360277136257,0.7910447761194029,1.678357846490452e-08
0.28868360277136257,0.8059701492537313,1.2362977985994157e-08
0.3140877598152425,0.8059701492537313,7.266735038258416e-10
0.3140877598152425,0.8208955223880597,3.822411679983957e-10
0.3233256351039261,0.8208955223880597,9.61661451574128e-11
0.3233256351039261,0.835820895522388,5.264969165976836e-11
0.3371824480369515,0.835820895522388,1.416398702953728e-11
0.3371824480369515,0.8507462686567164,9.968955476928387e-12
0.3648960739030023,0.8507462686567164,2.9521380037463404e-13
0.3648960739030023,0.8805970149253731,1.1978785482762713e-13
0.3695150115473441,0.8805970149253731,5.766282485894721e-14
0.3695150115473441,0.8955223880597015,4.0734626429875425e-14
0.3741339491916859,0.8955223880597015,1.801365383351481e-14
0.3741339491916859,0.9104477611940298,1.6266035714597868e-14
0.3787528868360277,0.9104477611940298,8.724934390025205e-15
0.3787528868360277,0.9253731343283582,8.14843246598795e-15
0.3903002309468822,0.9253731343283582,4.8264606534834794e-15
0.3903002309468822,0.9402985074626866,4.5108538619268965e-15
0.40415704387990764,0.9402985074626866,1.0983370387795887e-15
0.40415704387990764,0.9552238805970149,1.0494807772369471e-15
0.4226327944572748,0.9552238805970149,4.429444050111812e-17
0.4226327944572748,0.9701492537313433,3.395447135784924e-17
0.5842956120092379,0.9701492537313433,3.6657139947351794e-32
0.5842956120092379,0.9850746268656716,1.2781762580799563e-32
0.6789838337182448,0.9850746268656716,2.972552548982019e-39
0.6789838337182448,1.0,2.1767578720626728e-39
1.0,1.0,0.0
