model,cost_ratio_fn_fp,threshold,sensitivity,specificity,precision,referral_rate,false_negatives,false_positives,true_negatives,true_positives
classical_gmm,1:1,0.5,0.01,0.9969879518072289,0.2857142857142857,0.003763440860215054,198,5,1655,2
classical_gmm,5:1,0.16666666666666666,0.635,0.8078313253012048,0.28475336322869954,0.23978494623655913,73,319,1341,127
classical_gmm,10:1,0.09090909090909091,0.875,0.5716867469879519,0.19751693002257337,0.47634408602150535,25,711,949,175
classical_gmm,20:1,0.047619047619047616,0.95,0.44819277108433736,0.1717902350813743,0.5946236559139785,10,916,744,190
deep_efficientnet,1:1,0.5,0.25,0.983132530120482,0.6410256410256411,0.041935483870967745,150,28,1632,50
deep_efficientnet,5:1,0.16666666666666666,0.71,0.8216867469879519,0.3242009132420091,0.23548387096774193,58,296,1364,142
deep_efficientnet,10:1,0.09090909090909091,0.83,0.7042168674698795,0.2526636225266362,0.3532258064516129,34,491,1169,166
deep_efficientnet,20:1,0.047619047619047616,0.94,0.5819277108433735,0.21315192743764172,0.47419354838709676,12,694,966,188
