ratio,threshold,sensitivity,specificity,precision,referral_rate,false_negatives,false_positives
1:1,0.5,0.40239043824701193,0.8693181818181818,0.32792207792207795,0.1678474114441417,150,207
5:1,0.16666666666666666,0.4302788844621514,0.8566919191919192,0.32238805970149254,0.18256130790190736,143,227
10:1,0.09090909090909091,0.44223107569721115,0.8497474747474747,0.31805157593123207,0.1901907356948229,140,238
20:1,0.047619047619047616,0.4541832669322709,0.8434343434343434,0.3149171270718232,0.19727520435967302,137,248
