ratio,threshold,sensitivity,specificity,precision,referral_rate,false_negatives,false_positives
1:1,0.5,0.21912350597609562,0.9861111111111112,0.7142857142857143,0.041961852861035424,196,22
5:1,0.16666666666666666,0.7768924302788844,0.7809343434343434,0.35977859778597787,0.2953678474114441,56,347
10:1,0.09090909090909091,0.9083665338645418,0.6199494949494949,0.2746987951807229,0.45231607629427795,23,602
20:1,0.047619047619047616,0.9681274900398407,0.4753787878787879,0.22625698324022347,0.5852861035422343,8,831
