model,target_sensitivity,selected_threshold,cal_sensitivity,cal_specificity,cal_referral_rate,test_sensitivity,test_specificity,test_precision,test_referral_rate,test_false_negatives,test_false_positives
classical_gmm,0.95,0.054,0.9507042253521126,0.49686520376175547,0.5479548660084627,0.945,0.4674698795180723,0.17614165890027958,0.5768817204301075,11,884
classical_gmm,0.98,0.006,0.9859154929577465,0.15438871473354232,0.8596614950634697,1.0,0.14819277108433734,0.12391573729863693,0.867741935483871,0,1414
classical_gmm,0.99,0.003,1.0,0.09482758620689655,0.9146685472496474,1.0,0.08855421686746988,0.11675423234092236,0.9209677419354839,0,1513
deep_efficientnet,0.95,0.021,0.9507042253521126,0.438871473354232,0.6001410437235543,0.97,0.4433734939759036,0.1735241502683363,0.6010752688172043,6,924
deep_efficientnet,0.98,0.006,0.9929577464788732,0.25,0.7743300423131171,0.99,0.23012048192771084,0.13414634146341464,0.7935483870967742,2,1278
deep_efficientnet,0.99,0.006,0.9929577464788732,0.25,0.7743300423131171,0.99,0.23012048192771084,0.13414634146341464,0.7935483870967742,2,1278
