metric,mean,std
gmm_test_auc,0.7960839381706135,0.00897345119417534
deep_test_auc,0.8584275940538827,0.001949276254492293
deep_brier,0.0786112174327,0.006382432043674595
deep_ece_cal,0.019202463426183917,0.006450352095117524
deep_ece_raw,0.02624440464460917,0.008719267826537994
gmm_ece_cal,0.0246373144684591,0.014560927141370604
gmm_ece_raw,0.16028294983424793,0.015863603300382757
